"Category","Confirmados","Óbitos"
"22/07/2020",133245,2988
"23/07/2020",138358,3044
"24/07/2020",142767,3096
"25/07/2020",146399,3140
"26/07/2020",148179,3182
"27/07/2020",149109,3227
"28/07/2020",153313,3270
"29/07/2020",157334,3321
"30/07/2020",161630,3391
"31/07/2020",166154,3463
"01/08/2020",168926,3517
"02/08/2020",170476,3572
"03/08/2020",171391,3624
"04/08/2020",175389,3678
"05/08/2020",179737,3736
"06/08/2020",183690,3789
"07/08/2020",187892,3843
"08/08/2020",191401,3899
"09/08/2020",193029,3953
"10/08/2020",194097,4011
"11/08/2020",198767,4067
"12/08/2020",203020,4104
"13/08/2020",206955,4202
"14/08/2020",210993,4271
"15/08/2020",214379,4338
"16/08/2020",216030,4406
"17/08/2020",217115,4475
"18/08/2020",221041,4542
"19/08/2020",224659,4611
"20/08/2020",228596,4685
"21/08/2020",229743,4757
"22/08/2020",234204,4832
"23/08/2020",236050,4905
"24/08/2020",237208,4981
"25/08/2020",240939,5051
"26/08/2020",245021,5116
"27/08/2020",247853,5178
"28/08/2020",250977,5243
"29/08/2020",254790,5302
"30/08/2020",256062,5344
"31/08/2020",256727,5397
"01/09/2020",259418,5448
"02/09/2020",262299,5502
"03/09/2020",265739,5549
"04/09/2020",268137,5590
"05/09/2020",270177,5627
"06/09/2020",271255,5658
"07/09/2020",271963,5693
"08/09/2020",272814,5734
"09/09/2020",275088,5774
"10/09/2020",277327,5818
"11/09/2020",279509,5866
"12/09/2020",281665,5912
"13/09/2020",282517,5961
"14/09/2020",283235,5999
"15/09/2020",285448,6040
"16/09/2020",287685,6085
"17/09/2020",289655,6132
"18/09/2020",292019,6181
"19/09/2020",294210,6221
"20/09/2020",295303,6265
"21/09/2020",295996,6313
"22/09/2020",297805,6359
"23/09/2020",299415,6408
"24/09/2020",301248,6455
"25/09/2020",303058,6503
"26/09/2020",305186,6552
"27/09/2020",306036,6599
"28/09/2020",306629,6648
"29/09/2020",308252,6697
"30/09/2020",310526,6744
"01/10/2020",312050,6795
"02/10/2020",313404,6844
"03/10/2020",314711,6890
"04/10/2020",315440,6925
"05/10/2020",316005,6953
"06/10/2020",318147,6985
"07/10/2020",319981,7021
"08/10/2020",321798,7049
"09/10/2020",323210,7075
"10/10/2020",324964,7099
"11/10/2020",325957,7128
"12/10/2020",326634,7159
"13/10/2020",327327,7188
"14/10/2020",329787,7214
"15/10/2020",331362,7243
"16/10/2020",332898,7267
"17/10/2020",334697,7288
"18/10/2020",335351,7316
"19/10/2020",336232,7342
"20/10/2020",337994,7363
"21/10/2020",339215,7384
"22/10/2020",340665,7407
"23/10/2020",342526,7432
"24/10/2020",344014,7453
"25/10/2020",344705,7475
"26/10/2020",345949,7497
"27/10/2020",347721,7519
"28/10/2020",349711,7546
"29/10/2020",351277,7571
"30/10/2020",352700,7600
"31/10/2020",353157,7622
"01/11/2020",354043,7645
"02/11/2020",354576,7667
"03/11/2020",354983,7690
"04/11/2020",355753,7711
"05/11/2020",359130,7731
"06/11/2020",361136,7754
"07/11/2020",362563,7776
"08/11/2020",363146,7796
"09/11/2020",363986,7818
"10/11/2020",365941,7838
"11/11/2020",367669,7859
"12/11/2020",369259,7882
"13/11/2020",371378,7902
"14/11/2020",372727,7922
"15/11/2020",374009,7943
"16/11/2020",374721,7967
"17/11/2020",375374,7989
"18/11/2020",377445,8013
"19/11/2020",380294,8038
"20/11/2020",382164,8061
"21/11/2020",383945,8081
"22/11/2020",384903,8102
"23/11/2020",386321,8123
"24/11/2020",387786,8143
"25/11/2020",390909,8165
"26/11/2020",392381,8185
"27/11/2020",394300,8207
"28/11/2020",398504,8227
"29/11/2020",401419,8247
"30/11/2020",403071,8268
"01/12/2020",406189,8293
"02/12/2020",409417,8315
"03/12/2020",412685,8336
"04/12/2020",416734,8360
"05/12/2020",419044,8388
"06/12/2020",423124,8418
"07/12/2020",424704,8445
